id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
UgyxdML5w430agKVbs14AaABAg,Timothy Janssen,2 days ago,1531936231477,"I am absolutely no Rump fan. However, he is our President and I welcome his efforts to improve relations with Russia. The hysteria we see from the lamebrain media and the neoliberals in Congress is beyond the pale. They apparently would rather risk World War III than work with the capitalist (not communist) nation of Russia to improve relations and work together in cooperation. Like it or not, he is our legitimately elected leader and we must hold the utmost respect for the office if not the man. And, Russia is not our enemy. The enemy lies within.",1,false,0,,,,,,
UgyK9JCD7X3912aAx7R4AaABAg,Mohican D,2 days ago,1531936231482,"OOH MY .......lots of Russian haters here. 
Orange baby Trump and Putin are both politicians,  PEOPLE. 
They are saving Israhell, not America first, Israhell Is first !
Zionism Is working  !",2,false,0,,,,,,
Ugwf8XXj7XUjq9l0dpJ4AaABAg,Jasen Jahn,2 days ago,1531936231490,"Okay. He couldn’t say this in front of putin. Congress, it’s time for harsh sanctions.",0,false,0,,,,,,
Ugw5pxAY-HMazaU5VoJ4AaABAg,cosy murx,2 days ago,1531936231499,"Putin = Pitbull
Trump = Chihuahua",0,false,0,,,,,,
UgyWAwqDUtitCP186N94AaABAg,F A,2 days ago,1531936231502,"Trump is a GROWN MAN and if he wants to meet with Vladimir Putin, let him! He has the right.

Talking and dialogue is a good way to improve relations!",13,false,0,,,,,,
Ugw0ZSmwQvBrvKgtbkR4AaABAg,F A,2 days ago,1531936231512,"Trump should release his tax returns froim the past 10 years, stop seperating children from their parents, stop fighting with everyone in twitter, treat his wife with much respect and lover and have better relations with Russia.",3,false,0,,,,,,
Ugx3Q3o4lGavdqTtm2h4AaABAg,Kat Rivers,2 days ago,1531936231516,GREAT job President Trump. Don't let the lying drama queens slow you down.,6,false,0,,,,,,
UgygaKv3pB0MxWGmtzx4AaABAg,Jeremy Vajko,2 days ago,1531936232450,This is Russian funded news in the top of youtube trending,0,false,0,,,,,,
UgyQBBRktESit9C0GkR4AaABAg,Jeremy Vajko,2 days ago,1531936232459,"RT is funded by the Russian Government. Please be aware that they will specifically highlight points that will further their own interest. Russia and other autocrats are the very opposite of democracy, and have been fighting against democratic initiatives throughout history, including Western society.",0,false,0,,,,,,
UgxG6u3F6JBifKDZYhd4AaABAg,MFB,2 days ago,1531936232463,"The decrepit deep state offers no light or wisdom to this world, just separation, fear and killing AND their power and control. They own the MSM.",0,false,0,,,,,,
UgwoPhsNXkxnBeYVdZB4AaABAg,Ralph Crandon,2 days ago,1531936232472,Chump is Putin's pussy boy,0,false,0,,,,,,
UgyJAQNg9haWEuMUwel4AaABAg,My Friends,2 days ago,1531936232479,It's time for peace between the United States and Russia!     Trump 2020,17,false,0,,,,,,
Ugyd4My9eL_PNgimz6N4AaABAg,Joel Torres,2 days ago,1531936232484,TRUMP IS PUTIN'S BITCH,0,false,0,,,,,,
UgzMoRpeIzEspqNWElN4AaABAg,Seanus32,2 days ago,1531936232491,It didn't take this prick long to do a U-turn.  Donald the Douche needs to get out of office ASAP.  He's mentally unstable!,0,false,0,,,,,,
UgwRJGILOtZykEwlQMd4AaABAg,Pete fromtheIsland,2 days ago,1531936232495,"American intelligence agencies....whahahahahaha oxymoron, what a joke!",4,false,0,,,,,,
UgwZpcrMzBkC7X7xvg54AaABAg,Imja Familija,2 days ago,1531936232505,"is it a theater stage ? Nice puppets ! 

seriously, it's so unnatural, you can feel Trump is under pressure, someone above pulls the strings of manipulation, Trump must justify himself to change public opinion.

And your intelligent agencies were wrong, where are facts or solid material about hacking ? Until now nothing comes out, just speculation, loud accusation without proof. 

ok let's say they were involved in election somehow :
- 1. that means your impenetrable cybersecurity is shit 
- 2. involved ok, but how and why and for what ? maybe it's something else ? Maybe you just found a russian hacker IP who tried to steal a ticket for a ceremony, to participated on a gala (i'm joking of course) 
Nothing concrete, but still loudly firmly accusing people....

Saying ""both made mistakes"" is more diplomatic, open-minded,  he stepped forward, avoided the conflict, and tried to make better relationship, can we call it a ""treason"" ? no, it's stupid.... 
You expected what ? insulting and accusing each other at Helsinki, what a great meeting it would be.

you are narrow-minded and still live in cold war",0,false,0,,,,,,
UgwswmYAm0UABsKULah4AaABAg,Brittney K01,2 days ago,1531936232515,CLEAN UP IN ISLE 1600! Nappy change needed! 😂🤣😅🤪,0,false,0,,,,,,
UgwbGzOarns9Soo--W14AaABAg,Maude Stephens,2 days ago,1531936232518,https://www.jw.org/en/news/jw/region/russia/first-witness-couple-imprisoned-20180713/,0,false,0,,,,,,
Ugysjq2mCkspoGji5hl4AaABAg,Albus Regnum,2 days ago,1531936232527,Fuck nato,0,false,0,,,,,,
Ugxwm60UiI1Fj8FqJiB4AaABAg,Be Nice,2 days ago,1531936232536,You're A FAKE PRESIDENT,0,true,1,,,,,,
